gender,worldwide_gross
male,7.079284885296847
male,6.868730877313522
male,5.649519832658967
male,5.201847573590095
male,7.816246305952761
male,6.143774619202963
male,8.973883957785924
male,7.8344181729391105
male,7.050276719952501
male,8.794996201436673
male,7.1762145811776294
male,7.545055251631661
male,8.079539192392991
male,5.485389191889525
male,7.994274266722248
male,8.24349208825382
male,7.462815827742122
male,7.252214245589574
male,7.683670721821175
male,8.372776973444081
male,7.497367207477319
male,7.281642838916347
male,6.447138952987005
male,7.675664402307419
male,8.609636483599877
male,7.296228834177853
male,7.222472391487063
male,7.170583648877874
male,7.505368794033572
male,7.217655838164645
male,6.91175157301819
male,7.763195329117202
male,6.421777116608887
male,7.647142593991104
male,7.85397043637961
male,7.69249234446715
male,6.94659481204498
male,6.380988656432105
male,7.4058265169067505
male,5.209750863542574
male,8.507127945518064
male,6.874736115716002
male,4.849106019014648
male,7.788062720048843
male,5.694842022250481
male,8.123265817071406
male,4.844620053143161
male,6.461170055560068
male,6.322110086963202
male,8.267019703424321
male,4.669781615208537
male,8.923959599038586
male,7.477676246782306
male,5.754247396390835
male,7.795199587894732
male,7.19602726644416
male,6.888551939733355
male,7.296588172931537
male,8.273543144165398
male,7.247568668821876
male,7.472231762123383
male,8.934031714729514
male,8.25057646896452
male,7.693153151865766
male,7.486869977788264
male,6.0843703413614945
male,6.8560876062817435
male,8.330370175300803
male,6.823416906340942
male,9.005420329178806
male,7.89026831816508
male,4.004622265700783
male,7.245932472030529
male,8.722143136028372
male,7.811750008707982
male,8.352043037001556
male,7.379051630616326
male,7.602572547102614
male,7.4516033333665455
male,7.20945667576074
male,8.074409577939823
male,8.24196310379096
male,6.66837426700366
male,8.580283053112144
male,7.28676149153316
male,7.923573320110473
male,6.29082719893966
male,7.007527545959687
male,5.861130394836541
male,7.84878299193661
male,7.928326687401795
male,7.5187023170202245
male,8.234600229380508
male,7.360329727761746
male,6.081576998197729
male,7.766314576868628
male,7.865601942719494
male,7.68248502927316
male,8.554970659429998
male,7.883266024517399
male,7.199095777610783
male,7.309455413898341
female,7.541066661281062
female,6.249806188784818
female,7.183246918024733
female,3.8524799936368566
female,2.5185139398778875
female,
female,4.074048069062633
female,6.052441908767759
female,6.491116598542388
female,6.143774619202963
female,7.432859517485426
female,6.349278693357617
female,5.98773819457793
female,5.988353354053823
female,6.812857830214212
female,4.299267531608602
female,6.994295019367613
female,8.357796088701818
female,6.196939054641837
female,5.768820806825934
female,8.181635765462183
female,5.383255087879065
female,2.7551122663950713
female,6.153728301590017
female,6.270210523733347
female,6.0810796624969194
female,8.18384081746106
female,6.328916328764407
female,6.746302358377694
female,7.402526453376431
female,7.6134504212533285
female,7.081435202129084
female,7.171503780443608
female,6.7719479940352825
female,5.3660118173612865
female,6.885526763248067
female,6.536068827901944
female,4.893434392542665
female,6.9008994821827185
female,3.9688563746146923
female,8.122019398343332
female,3.619927710291468
female,7.437744175157493
female,7.028792572615554
female,2.7528164311882715
female,7.310775406415938
female,7.157597339531469
female,5.485389191889525
female,6.261119825520994
female,
female,6.9272543816866134
female,6.318221573063091
female,7.7136457945189365
female,6.023661861874356
female,6.527581958300196
female,5.61155231735395
female,6.4607365678401365
female,7.017619783590199
female,5.000676971491189
female,7.809000515410096
female,7.06222865195816
female,6.994295019367613
female,6.591732906070343
female,4.165303692468361
female,6.076638623488481
female,8.670098961534105
female,5.9394293892913534
female,6.971299697160617
female,4.609626419923752
female,5.201847573590095
female,3.691258358133111
female,7.488372393550313
female,7.997199073083021
female,7.83111926141667
female,6.421777116608887
female,4.158754386632288
female,7.897557158751294
female,7.146128035678238
female,6.964362132345405
female,7.139779439004311
female,7.753484186283091
female,6.7331509432433245
female,7.534872016251783
female,4.101024940352695
female,5.036197580114696
female,5.432666300863465
female,7.921852661444519
female,1.9590413923210936
female,8.123265817071406
female,4.392098727163994
female,6.227829137506215
female,6.380988656432105
female,7.079284885296847
female,7.69249234446715
female,4.152013000050834
female,8.074409577939823
female,3.61320735210376
female,4.60760512376043
female,3.8972421028053654
female,7.60407225103648
