Era,Genres,Count
1999-2010,Adult Animation,1
1999-2010,Adventure,2
1999-2010,Animation,1
1999-2010,Baseball,1
1999-2010,Biography,7
1999-2010,Comedy,4
1999-2010,Coming-of-Age,4
1999-2010,Docudrama,1
1999-2010,Documentary,19
1999-2010,Drama,15
1999-2010,Family,1
1999-2010,Feel-Good Romance,1
1999-2010,History,3
1999-2010,Military Documentary,2
1999-2010,Mountain Adventure,1
1999-2010,Music,1
1999-2010,Nature Documentary,1
1999-2010,News,1
1999-2010,Period Drama,1
1999-2010,Psychological Drama,1
1999-2010,Romance,3
1999-2010,Romantic Comedy,1
1999-2010,Sport,2
1999-2010,Sports Documentary,2
1999-2010,Teen Drama,1
1999-2010,Thriller,1
1999-2010,Travel Documentary,1
1999-2010,War,3
1999-2010,Water Sport,1
1999-2010,Western,1
2010-2020,,2
2010-2020,Action,1
2010-2020,Adventure,4
2010-2020,Animation,2
2010-2020,Biography,20
2010-2020,Buddy Comedy,1
2010-2020,Classical Western,1
2010-2020,Comedy,20
2010-2020,Coming-of-Age,14
2010-2020,Costume Drama,1
2010-2020,Crime,8
2010-2020,Crime Documentary,2
2010-2020,Dark Comedy,2
2010-2020,Dark Fantasy,1
2010-2020,Dark Romance,1
2010-2020,Docudrama,3
2010-2020,Documentary,52
2010-2020,Drama,70
2010-2020,Extreme Sport,1
2010-2020,Faith & Spirituality Documentary,1
2010-2020,Family,4
2010-2020,Fantasy,4
2010-2020,Feel-Good Romance,1
2010-2020,History,12
2010-2020,History Documentary,3
2010-2020,Holiday Romance,1
2010-2020,Horror,9
2010-2020,Military Documentary,1
2010-2020,Monster Horror,1
2010-2020,Mountain Adventure,2
2010-2020,Music,4
2010-2020,Music Documentary,1
2010-2020,Mystery,7
2010-2020,Nature Documentary,1
2010-2020,News,2
2010-2020,Period Drama,5
2010-2020,Political Documentary,5
2010-2020,Prison Drama,1
2010-2020,Psychological Drama,2
2010-2020,Psychological Horror,2
2010-2020,Psychological Thriller,1
2010-2020,Quest,1
2010-2020,Quirky Comedy,4
2010-2020,Romance,15
2010-2020,Romantic Comedy,2
2010-2020,Sci-Fi,2
2010-2020,Science & Technology Documentary,2
2010-2020,Sport,4
2010-2020,Sports Documentary,3
2010-2020,Steamy Romance,1
2010-2020,Superhero,1
2010-2020,Supernatural Horror,3
2010-2020,Survival,1
2010-2020,Suspense Mystery,2
2010-2020,Teen Comedy,5
2010-2020,Teen Drama,7
2010-2020,Teen Romance,2
2010-2020,Thriller,8
2010-2020,Tragedy,2
2010-2020,True Crime,1
2010-2020,Vampire Horror,1
2010-2020,War,7
2010-2020,Werewolf Horror,1
2010-2020,Western,5
2010-2020,Workplace Drama,1
2020-2024,,1
2020-2024,Action,4
2020-2024,Action Epic,1
2020-2024,Adventure,5
2020-2024,Adventure Epic,1
2020-2024,Animation,1
2020-2024,Artificial Intelligence,1
2020-2024,Biography,9
2020-2024,Body Horror,7
2020-2024,Boxing,1
2020-2024,Comedy,28
2020-2024,Coming-of-Age,25
2020-2024,Computer Animation,1
2020-2024,Crime,11
2020-2024,Crime Documentary,2
2020-2024,Cyberpunk,1
2020-2024,Dark Comedy,7
2020-2024,Dark Romance,1
2020-2024,Docudrama,3
2020-2024,Documentary,21
2020-2024,Drama,102
2020-2024,Drug Crime,1
2020-2024,Erotic Thriller,1
2020-2024,Faith & Spirituality Documentary,2
2020-2024,Family,3
2020-2024,Fantasy,7
2020-2024,Folk Horror,4
2020-2024,Food Documentary,1
2020-2024,Found Footage Horror,2
2020-2024,High-Concept Comedy,1
2020-2024,Historical Epic,1
2020-2024,History,10
2020-2024,History Documentary,1
2020-2024,Horror,18
2020-2024,Korean Drama,1
2020-2024,Legal Drama,3
2020-2024,Legal Thriller,1
2020-2024,Medical Drama,1
2020-2024,Monster Horror,3
2020-2024,Music,3
2020-2024,Musical,1
2020-2024,Mystery,8
2020-2024,Nature Documentary,2
2020-2024,Period Drama,8
2020-2024,Political Documentary,2
2020-2024,Political Drama,1
2020-2024,Psychological Drama,11
2020-2024,Psychological Horror,2
2020-2024,Psychological Thriller,2
2020-2024,Quirky Comedy,2
2020-2024,Raunchy Comedy,3
2020-2024,Road Trip,1
2020-2024,Romance,18
2020-2024,Romantic Comedy,3
2020-2024,Satire,3
2020-2024,Sci-Fi,5
2020-2024,Showbiz Drama,1
2020-2024,Slasher Horror,2
2020-2024,Splatter Horror,1
2020-2024,Sport,4
2020-2024,Sports Documentary,1
2020-2024,Supernatural Horror,6
2020-2024,Suspense Mystery,2
2020-2024,Teen Comedy,3
2020-2024,Teen Drama,6
2020-2024,Teen Romance,1
2020-2024,Thriller,15
2020-2024,Tragedy,3
2020-2024,Tragic Romance,2
2020-2024,Vampire Horror,1
2020-2024,War,2
2020-2024,Water Sport,1
2020-2024,Western,1
2020-2024,Workplace Drama,1
2020-2024,Zombie Horror,1
